parent,child
throughput_2_t,buffer_size_3_t
throughput_2_t,python_gc_objects_collected_total_6_t
throughput_2_t,buffer_size_3_t1
throughput_2_t,throughput_3_t1
python_gc_objects_collected_total_6_t,python_gc_objects_collected_total_5_t
python_gc_objects_collected_total_6_t,process_cpu_seconds_total_1_t
python_gc_objects_collected_total_6_t,python_gc_objects_collected_total_6_t1
data_quality_2_t,avg_p_latency_1_t
data_quality_2_t,throughput_1_t
data_quality_2_t,throughput_3_t
avg_p_latency_1_t,throughput_1_t
avg_p_latency_1_t,buffer_size_3_t
avg_p_latency_1_t,python_gc_collections_total_7_t
avg_p_latency_1_t,data_quality_2_t1
avg_p_latency_1_t,buffer_size_3_t1
throughput_1_t,throughput_3_t
throughput_1_t,throughput_2_t
throughput_1_t,buffer_size_3_t
throughput_1_t,throughput_1_t1
throughput_1_t,data_quality_2_t1
throughput_1_t,buffer_size_3_t1
throughput_1_t,throughput_3_t1
throughput_1_t,throughput_2_t1
throughput_1_t,avg_p_latency_1_t1
throughput_3_t,throughput_2_t
throughput_3_t,data_quality_2_t1
cores_2_t,throughput_2_t
cores_2_t,throughput_3_t
cores_2_t,python_gc_collections_total_4_t
cores_2_t,cores_2_t1
cores_2_t,throughput_3_t1
cores_2_t,throughput_2_t1
python_gc_collections_total_4_t,python_gc_collections_total_1_t
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_2_t
python_gc_objects_collected_total_1_t,process_cpu_seconds_total_3_t
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_2_t1
python_gc_objects_collected_total_1_t,process_cpu_seconds_total_3_t1
python_gc_collections_total_7_t,python_gc_collections_total_4_t
python_gc_collections_total_7_t,python_gc_objects_collected_total_6_t
python_gc_collections_total_7_t,python_gc_collections_total_7_t1
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_1_t
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_2_t
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_3_t,python_gc_collections_total_1_t1
python_gc_objects_collected_total_3_t,python_gc_collections_total_4_t1
python_gc_objects_collected_total_3_t,avg_p_latency_1_t1
python_gc_collections_total_1_t,python_gc_objects_collected_total_3_t
python_gc_collections_total_1_t,python_gc_objects_collected_total_2_t1
python_gc_objects_collected_total_5_t,process_cpu_seconds_total_1_t
python_gc_objects_collected_total_5_t,avg_p_latency_1_t1
process_cpu_seconds_total_1_t,python_gc_objects_collected_total_5_t1
process_cpu_seconds_total_1_t,process_cpu_seconds_total_1_t1
process_cpu_seconds_total_1_t,process_cpu_seconds_total_3_t1
throughput_2_t1,buffer_size_3_t1
throughput_2_t1,python_gc_objects_collected_total_6_t1
python_gc_objects_collected_total_6_t1,python_gc_objects_collected_total_5_t1
python_gc_objects_collected_total_6_t1,process_cpu_seconds_total_1_t1
data_quality_2_t1,avg_p_latency_1_t1
data_quality_2_t1,throughput_1_t1
data_quality_2_t1,throughput_3_t1
avg_p_latency_1_t1,throughput_1_t1
avg_p_latency_1_t1,buffer_size_3_t1
avg_p_latency_1_t1,python_gc_collections_total_7_t1
throughput_1_t1,throughput_3_t1
throughput_1_t1,throughput_2_t1
throughput_1_t1,buffer_size_3_t1
throughput_3_t1,throughput_2_t1
cores_2_t1,throughput_2_t1
cores_2_t1,throughput_3_t1
cores_2_t1,python_gc_collections_total_4_t1
python_gc_collections_total_4_t1,python_gc_collections_total_1_t1
python_gc_objects_collected_total_1_t1,python_gc_objects_collected_total_2_t1
python_gc_objects_collected_total_1_t1,process_cpu_seconds_total_3_t1
python_gc_collections_total_7_t1,python_gc_collections_total_4_t1
python_gc_collections_total_7_t1,python_gc_objects_collected_total_6_t1
python_gc_objects_collected_total_3_t1,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_3_t1,python_gc_objects_collected_total_2_t1
python_gc_collections_total_1_t1,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_5_t1,process_cpu_seconds_total_1_t1
